Question,Relevant Note
How do I hide my iPhone screen while using VoiceOver?,A three-finger triple tap toggles the Screen Curtain to darken the screen for privacy.
Which Seeing AI channel identifies bank notes?,The Currency channel in Seeing AI identifies bank notes from various countries.
What JAWS shortcut lists all links on a page?,In JAWS the command Insert + F7 brings up a list of all links on the current webpage.
Which Seeing AI channel reads printed documents?,The Document channel in Seeing AI requires you to take a photo and provides audio guidance to align edges.
How do I stop JAWS speech immediately?,To silence JAWS speech immediately press the Control key.
What single key navigates by headings?,The H key acts as the shortcut for Headings in most major screen readers (JAWS NVDA VoiceOver).
Which app provides live video calls to sighted volunteers?,Be My Eyes connects blind users to sighted volunteers via video call.
What JAWS shortcut reads the current time?,To read the current time in JAWS press Insert + F12.
How do I type braille on an iPhone screen?,Braille Screen Input on iOS allows you to calibrate dot positions based on where your fingers land.
Which GPS app announces points of interest and intersections?,BlindSquare is a GPS app that announces points of interest and intersections.
What shortcut turns on Windows Magnifier?,Windows Key + Plus turns on Magnifier and zooms in.
Which Google Lookout mode scans grocery barcodes?,Lookout's Food Label mode scans barcodes to identify packaged grocery items.
What gesture opens the Android TalkBack menu?,The TalkBack menu is accessed by a three-finger tap or an L-shaped gesture (swipe down then right).
What app downloads books from the NLS?,Bard Mobile allows users to download audiobooks from the NLS Braille and Audio Reading Download service.
What JAWS shortcut switches open applications?,To switch between open applications with JAWS speech support use Alt + Tab.
What shortcut toggles VoiceOver on a Mac?,Command + F5 toggles VoiceOver on macOS.
Which Seeing AI channel identifies colors?,The Color channel in Seeing AI identifies the color of the object in the center of the frame.
What JAWS shortcut moves between table cells?,Table navigation in JAWS uses Alt + Ctrl + Arrow Keys to move between cells.
How do I scroll text on a braille display?,Panning buttons are used to scroll the braille display to the next section of text.
What is the shortcut to quit NVDA?,To quit NVDA completely press NVDA + Q.
